[19:53:47.000][I][app:206]: ESPHome version 2026.1.4 compiled on 2026-03-21 19:45:27 +0100
[19:53:47.041][I][app:213]: ESP32 Chip: ESP32 r3.1, 2 core(s)
[19:54:12.721][I][mspa:118]: [CLAV->SPA] A5 03 00 A8 [Bulles lvl=0]
[19:54:12.721][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:12.924][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:13.711][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:14.041][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:14.675][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:14.950][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:18.127][I][mspa:118]: [CLAV->SPA] A5 01 00 A6 [Chauffage OFF]
[19:54:18.127][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:18.127][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:18.127][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:18.127][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:18.127][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:18.127][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:18.891][I][mspa:118]: [CLAV->SPA] A5 19 00 BE [UVC OFF]
[19:54:19.119][I][mspa:118]: [CLAV->SPA] A5 15 00 BA
[19:54:19.119][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:19.250][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:19.808][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:20.020][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:20.315][I][mspa:118]: [CLAV->SPA] A5 02 00 A7 [Filtration OFF]
[19:54:20.809][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:21.260][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:21.644][I][mspa:118]: [CLAV->SPA] A5 03 00 A8 [Bulles lvl=0]
[19:54:22.104][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:22.104][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:22.870][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:23.013][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:23.841][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:24.153][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:24.691][I][mspa:118]: [CLAV->SPA] A5 01 00 A6 [Chauffage OFF]
[19:54:24.819][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:25.134][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:25.870][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:26.112][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:26.849][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:27.075][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:27.654][I][mspa:118]: [CLAV->SPA] A5 19 00 BE [UVC OFF]
[19:54:27.857][I][mspa:118]: [CLAV->SPA] A5 15 00 BA
[19:54:27.971][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:28.162][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:28.948][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:29.172][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:29.211][I][mspa:118]: [CLAV->SPA] A5 02 00 A7 [Filtration OFF]
[19:54:30.008][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:30.208][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:30.634][I][mspa:118]: [CLAV->SPA] A5 03 00 A8 [Bulles lvl=0]
[19:54:31.011][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:31.240][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:32.033][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:33.049][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:33.049][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:33.300][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:33.641][I][mspa:118]: [CLAV->SPA] A5 01 00 A6 [Chauffage OFF]
[19:54:34.120][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:34.184][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:35.000][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:35.235][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:36.091][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:36.383][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:36.650][I][mspa:118]: [CLAV->SPA] A5 19 00 BE [UVC OFF]
[19:54:36.656][I][mspa:118]: [CLAV->SPA] A5 15 00 BA
[19:54:37.087][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:37.257][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:38.077][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:38.205][I][mspa:118]: [CLAV->SPA] A5 02 00 A7 [Filtration OFF]
[19:54:38.265][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:39.123][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:39.230][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:39.747][I][mspa:118]: [CLAV->SPA] A5 03 00 A8 [Bulles lvl=0]
[19:54:40.111][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:40.384][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:41.041][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:41.242][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:42.077][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:42.411][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:42.644][I][mspa:118]: [CLAV->SPA] A5 01 00 A6 [Chauffage OFF]
[19:54:43.221][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:43.458][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:44.093][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:44.313][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:45.246][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:45.361][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:47.066][I][mspa:118]: [CLAV->SPA] A5 19 00 BE [UVC OFF]
[19:54:47.066][I][mspa:118]: [CLAV->SPA] A5 15 00 BA
[19:54:47.066][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:47.066][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:47.408][I][mspa:118]: [CLAV->SPA] A5 02 00 A7 [Filtration OFF]
[19:54:47.409][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:47.461][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:48.222][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:48.615][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:48.618][I][mspa:118]: [CLAV->SPA] A5 03 00 A8 [Bulles lvl=0]
[19:54:49.171][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:49.361][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:50.178][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:50.380][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:51.251][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:51.510][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:51.722][I][mspa:118]: [CLAV->SPA] A5 01 00 A6 [Chauffage OFF]
[19:54:52.300][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:52.463][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:53.220][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:53.641][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:54.299][I][mspa:075]: [SPA->CLAV] A5 1A 07 C6 [Flags 0x07]
[19:54:54.605][I][mspa:075]: [SPA->CLAV] A5 08 03 B0 [Physique Status]
[19:54:54.890][I][mspa:118]: [CLAV->SPA] A5 19 00 BE [UVC OFF]
